Tiger Woods,1,"109,612,414"
Phil Mickelson,2,"75,298,510"
Vijay Singh,3,"68,591,424"
Jim Furyk,4,"61,911,633"
Ernie Els,5,"47,797,240"
Steve Stricker,7,"40,674,840"
David Toms,8,"40,514,094"
Sergio Garcia,9,"38,364,486"
Adam Scott,10,"37,405,653"
Zach Johnson,11,"33,675,219"
Justin Leonard,12,"33,375,024"
Stewart Cink,13,"32,894,335"
Luke Donald,14,"32,298,519"
Kenny Perry,15,"31,980,740"
Matt Kuchar,16,"31,220,703"
K.J. Choi,17,"30,039,243"
Justin Rose,18,"29,253,833"
Retief Goosen,19,"28,976,691"
Stuart Appleby,20,"28,844,685"
Geoff Ogilvy,21,"28,440,710"
Hunter Mahan,22,"28,196,140"
Rory Sabbatini,23,"28,053,155"
Mike Weir,24,"27,943,673"
Scott Verplank,26,"27,474,543"
Robert Allenby,27,"27,329,892"
Bubba Watson,28,"26,455,896"
Jerry Kelly,29,"26,205,501"
Mark Calcavecchia,30,"24,216,436"
Dustin Johnson,31,"24,157,093"
Tim Clark,32,"23,703,256"
Rory McIlroy,33,"23,440,098"
Brandt Snedeker,34,"23,354,884"
Chris DiMarco,35,"22,656,443"
Fred Couples,36,"22,595,874"
Padraig Harrington,37,"22,545,507"
Chad Campbell,38,"22,305,675"
Nick Watney,39,"22,235,131"
Bob Estes,40,"21,536,179"
Tom Lehman,41,"21,495,878"
Carl Pettersson,42,"21,348,574"
Fred Funk,43,"21,130,324"
Nick Price,44,"20,576,104"
Bill Haas,45,"20,512,537"
Billy Mayfair,46,"20,244,211"
Ryan Moore,47,"19,894,741"
Stephen Ames,49,"19,710,547"
Jeff Maggert,50,"19,364,566"
Ben Crane,51,"19,311,408"
John Senden,52,"19,231,863"
David Duval,53,"18,947,092"
Webb Simpson,54,"18,818,256"
Tim Herron,55,"18,781,482"
Scott Hoch,56,"18,530,156"
John Rollins,57,"18,273,846"
Jeff Sluman,58,"18,165,266"
Steve Flesch,59,"18,153,356"
Brian Gay,60,"17,795,366"
Brad Faxon,61,"17,769,249"
Jonathan Byrd,62,"17,666,742"
Jason Day,63,"17,617,930"
Sean O'Hair,64,"17,481,863"
Jason Dufner,65,"17,414,967"
Lee Westwood,66,"17,271,509"
Ryan Palmer,67,"17,257,814"
Camilo Villegas,68,"17,226,521"
Aaron Baddeley,69,"17,055,593"
Kevin Na,70,"17,021,375"
Rocco Mediate,71,"16,792,617"
Woody Austin,72,"16,564,538"
Henrik Stenson,73,"16,480,020"
Freddie Jacobson,74,"16,215,614"
Ian Poulter,75,"16,174,457"
Corey Pavin,76,"16,021,370"
Lee Janzen,77,"15,997,139"
Lucas Glover,78,"15,985,035"
Heath Slocum,79,"15,863,402"
Bob Tway,80,"15,785,815"
Kevin Sutherland,81,"15,658,171"
Rickie Fowler,82,"15,583,697"
Pat Perez,83,"15,521,330"
Steve Elkington,84,"15,505,418"
Jesper Parnevik,85,"15,321,627"
Hal Sutton,86,"15,267,685"
Loren Roberts,87,"15,154,767"
Steve Lowery,88,"15,121,961"
John Huston,89,"14,967,146"
Charley Hoffman,91,"14,544,232"
Greg Norman,92,"14,484,458"
Paul Azinger,93,"14,467,496"
Jay Haas,94,"14,440,317"
Mark Wilson,95,"14,307,992"
Mark O'Meara,96,"14,189,882"
Joe Durant,97,"14,181,693"
Keegan Bradley,98,"14,177,208"
J.J. Henry,99,"14,132,846"
Kirk Triplett,100,"14,096,656"
Rod Pampling,101,"13,873,054"
Shigeki Maruyama,102,"13,809,170"
Ben Curtis,103,"13,733,634"
Angel Cabrera,104,"13,693,729"
Jimmy Walker,105,"13,416,052"
Briny Baird,106,"13,251,178"
J.B. Holmes,107,"13,178,396"
Paul Goydos,108,"12,782,100"
John Cook,109,"12,685,199"
Scott McCarron,110,"12,649,527"
Brian Davis,111,"12,634,849"
Dudley Hart,112,"12,619,360"
Jason Bohn,113,"12,556,656"
Trevor Immelman,114,"12,526,452"
Billy Andrade,115,"12,494,805"
Anthony Kim,117,"12,206,409"
Boo Weekley,118,"12,200,557"
Kevin Streelman,119,"12,008,763"
Tim Petrovic,120,"11,962,227"
Jeff Overton,121,"11,904,824"
Duffy Waldorf,122,"11,902,599"
Martin Laird,123,"11,878,072"
Graeme McDowell,124,"11,814,783"
Payne Stewart,126,"11,737,008"
Robert Garrigus,127,"11,733,098"
Vaughn Taylor,128,"11,612,644"
Chris Riley,129,"11,510,983"
Harrison Frazar,130,"11,431,560"
Joey Sindelar,131,"11,196,462"
Tom Watson,132,"11,069,517"
Brett Quigley,133,"11,058,693"
Tom Kite,134,"11,041,042"
Paul Casey,135,"10,735,116"
Jonathan Kaye,136,"10,584,934"
Bernhard Langer,137,"10,401,961"
Marc Leishman,138,"10,332,532"
John Daly,139,"10,178,749"
Joe Ogilvie,140,"10,149,923"
